id,ENG,HIN
220,N A T I O N A L _ A R T _ G A L L E R Y _ A N D _ A L E X A N D R O S _ S O U T Z O S _ M U S E U M,न े श न ल _ आ र ् ट _ ग ै ल र ी _ ए ण ् ड _ ए ल े क ् ज ़ ै ं ड ् र स _ स ु ज ़ ॉ स _ म ् य ु ज़ ि य म
221,M A N A G E R,म ै न े ज र
222,N A I B,न ै ब
223,B A R S U A N,ब र स ौ न
224,H E R M E S,ह र ् म ी स
225,S H I L P I T A,श ि ल ् प ि त ा
226,T I K A M G A R H,ट ी क म ग ढ ़
227,B A U R I A _ J U N C T I O N,ब ौ र ि य ा _ ज ं क ् श न
228,P R E M I O _ N A D A L,प ् र े म ि य ो _ न ड ा ल
229,K H O O N _ K A _ K H O O N,ख ू न _ क ा _ ख ू न
230,K E N Y A,क े न ् य ा
231,R A S T E _ A U R _ M A N Z I L,र ा स ् त े _ औ र _ म ं ज़ ि ल
232,T H A I L A N D,थ ा य ल ै ं ड
233,K A S H I P R A S A D,क ा श ी प ् र स ा द
234,S A L U I N,स ा ल ु इ न
235,R U S S E L L _ K R O V I,र स े ल _ क ् र ो व ी
236,N I S A L _ F E R N A N D O,न ि स ल _ फ र ् न े ं ड ो
237,B R O O K L Y N,ब ् र ु क ल े
238,M U K U L I T,म ु क ु ल ि त
239,I N D U P R A B H A,इ न ् द ु प ् र भ ा
240,D E L A W A R E _ C A N A L,ड े ल ा व े य र _ क े न ा ल
241,C O L D S T R E A M _ M U S E U M,क ो ल ् ड स ् ट ् र ी म _ म ् य ु ज़ ि य म
242,D O N A G H,द ो न घ
243,S I M O N _ D O U L L,स ा इ म न _ ड ॉ ल
244,S A M E E R A,स म ी र ा
245,I ^ D U K A A N T,इ ं द ु क ा ं त
246,S A M B A R A N,स म ब र न
247,L A R A M I E,ल ा र ा म ी
248,L U M P S _ F O R T,ल म ् प ् स _ फ ो र ् ट
249,G A M I N I _ P E R E R A,ज े म ि न ी _ प र े र ा
250,E U L A L I E,य ू ल े ल ी
251,B A B E N B U R G,ब ा ब े न ब र ् ग
252,S H O A I B _ M A L I K,श ो ए ब _ म ल ि क
253,C H A N D O K,च ं ड ो क
254,G H A A R E,घ ा र े
255,K R I P A L,क ृ प ा ल
256,K A M P A L A,क ं प ा ल ा
257,A L E G R I A S,ए ल े ग ् र ि य ा स
258,D U L C I M E R,ड ल स ा इ म र
259,G I O R G I O,ज ् य ा र ् ज ि य ो
260,G U N A H,ग ु न ा ह
261,S E P I K _ F L U T E S _ K A N E N G A R A,स े प ि क _ फ ् ल ् य ू ट ् स _ क न े न ग र ा
262,R I C H A,ऋ च ा
263,G A I L,ग े ल
264,A M B R E E S H,अ ं ब र ी श
265,O K I N O S H I M A,ओ क ि न ो श ि म ा
266,O R D E R _ O F _ T H E _ C R O W N,ऑ ड र _ ऑ फ _ द _ क ् र ा उ न
267,B E H A K E _ K A D A M,ब ह क े _ क द म
268,A D E R Y N,ए ड र ि न
269,A P P L I N G,ए प ् ल ि ं ग
270,K H U D R A H,ख ु द र ा ह
271,U N I V E R S I T Y _ O F _ P O R T S M O U T H,य ू न ि व र ् स ि ट ी _ ऑ फ _ प ो र ् ट ् स म ा उ थ
272,L A N G S T O N E _ R E D O U B T,ल ै ं ग स ् ट ो न _ र ि ड ा उ ट
273,I D A N A,इ ड े न ा
274,S H A W N A,श ॉ न ा
275,E F F I E _ A W A R D S,ए फ ी _ अ व ा र ् ड ् ‍ स
276,S C H L E S W I G - H O L S T E I N _ W A D D E N _ S E A,श े ज ़ व ि ग - ह ो ल स ् ट े न _ व ै ड न _ स ी
277,C H A K R A D H A R P U R,च क ् र ध र प ु र
278,M U J R I M,म ु ज र ि म
279,C H R I S T A,क ् र ि स ् ट ा
280,K I S H O R,क ि श ो र
281,C A R I S S A,क ै र ी स ा
282,D O N A L D _ T R U M P,ड ो न ा ल ् ड _ ट ् र ं प
283,I R I S H,आ य र ि श
284,S A I N T - A F F R I Q U E _ P R I Z E,स े ं ट - ए फ ् र ी क _ प ् र ा इ ज़
285,B A N K _ O F _ A M E R I C A _ P L A Z A,ब ै ं क _ ऑ फ _ अ म े र ि क ा _ प ् ल ा ज ़ ा
286,S H I K I S H I M A,श ि क ी श ि म ा
287,M A C R O N I X _ I N T E R N A T I O N A L,म ै क ् र ॉ न ि क ् स _ इ ं ट र न े श न ल
288,B A Y A Z I D _ B A S T A M I,ब य ा ज़ ि द _ ब स ् त ा म ी
289,W O H _ P H I R _ N A H I N _ A A Y E E,व ो _ फ ि र _ न ह ी ं _ आ ई
290,M I T S U B I S H I _ T O K Y O _ F I N A N C I A L _ G R O U P,म ि त ् स ु ब ि श ी _ ट ो क ् य ो _ फ ़ ा इ न े ं श ि य ल _ ग ् र ु प
291,B I J A I N A G A R,ब ि ज य न ग र
292,P A U L _ S I M O N,प ॉ ल _ स ि म ॉ न
293,A B A Z I L A,अ ब ा ज ि ल ा
294,S H R I D U L A,श ् र ी द ु ल ा
295,S V A A T I,स ् व ा त ि
296,S A L E E M _ M A L I K,स ल ी म _ म ल ि क
297,Y A S H O D H A N,य श ो ध न
298,F O R T _ M O R G A N,फ ो र ् ट _ म ॉ र ् ग न
299,S E N A P A T I,स े न ा प त ि
300,M A R K _ B U R G E S S,म ा र ् क _ ब र ् ग े स
301,M A R I O,म ा र ि ओ
302,L A U R E N C E _ O L I V I E R _ A W A R D S,ल ॉ र े ं स _ ओ ल ि व र _ अ व ा र ् ड ् ‍ स
303,G I R I K,ग ि र ि क
304,S E L K I R K,स े ल क ् र ि क
305,S A N G H E R A,स ं घ े र ा
306,B E B U S,ब े ब स
307,P A U L _ A L L O T T,प ॉ ल _ ए ल ॉ ट
308,V I N O T H E N _ J O H N,व ि न ो थ न _ ज ॉ न
309,A N A N D _ A U R _ A N A N D,आ न ं द _ औ र _ आ न ं द
310,R O X Y,र ॉ क ् स ी
311,N A S H,न ै श
312,G E R A L D,ग े र ा ल ् ड
313,K H O T,ख ो त
314,M A L I K A,म ल ि क ा
315,D U N G A R P U R,ड ू ं ग र प ू र
316,D U N G A R P U R,ड ु ं ग र प ु र
317,C H A G G A N,छ ग न
318,A B H I N A V,अ भ ि न व
319,D E E P E S H,द ी प े श
320,E T T A,ए ट ् ‍ ट ा
321,D H O T,ढ ो ट
322,E C H O _ M O U N T A I N,ई क ो _ म ा उ ं ट न
323,B A G L A M A,ब ग ल ा म ा
324,T U T E J A,ट ु ट े ज ा
325,D E N N I S _ A M I S S,ड े न ि स _ ए म ि स
326,T R O Y,ट ् र ॉ य
327,Y A Q U I _ I N D I A N _ D A N C E,य ा क ू ई _ इ ं ड ि य न _ ड ा ं स
328,G E R A R D,ग े र ा र ् ड
329,S H E E P,श ी प
330,M U R S H I D A B A D,म ु र ् श ि द ा ब ा द
331,S I R A N,स ि र न
332,N E G I,न े ग ी
333,J A W A N I _ K I _ L E H R E N,ज व ा न ी _ क ी _ ल ह र े ं
334,E L - M A R E E S,अ ल - म र ी स
335,A I S H B A G H,ऐ श ब ा ग
336,L O U _ V I N C E N T,ल ो उ _ व ि ं स े ं ट
337,S N I G D H A A,स ् न ि ग ् ध ा
338,F O R T _ W I L L I A M,फ ो र ् ट _ व ि ल ि य म
339,H A M I S H _ A N T H O N Y,ह म ी श _ ए ं थ न ी
340,T U N T E X _ S K Y _ T O W E R,ट र ् न ट े क ् स _ स ् क ा य _ ट ॉ व र
341,V A R A T T U P A L L A M _ R E S E R V O I R,व र त ् त ु प ल ् ल म _ र ि ज़ र व ा य र
342,A J A M A L,अ ज म ल
343,S K I L L S O F T,स ् क ि ल स ॉ फ ़ ् ट
344,F O R T _ S A N _ G E R O N I M O,फ ो र ् ट _ स ै न _ ग े र ो न ि म ो
345,B H U L A N P U R,भ ु ल न प ु र
346,E I F E L,ए इ फ ़ े ल
347,H U M _ N A U J A W A N,ह म _ न ौ ज व ा न
348,K H A T T A _ M E E T H A,ख ट ् ट ा _ म ी ठ ा
349,V I L A S I N I,व ि ल ा स ि न ी
350,T I T A N I A,ट ि ट ा न ि य ा
351,M A H I N D R A _ U G I N E,म ह ि ं द ् र ा _ य ु ज ि न
352,Q U E E N S B O R O,क ् व ी न ् स ब ो र ो
353,N I D A,न ि द ा
354,N A T W A R,न ट व र
355,A I D A,आ इ ड ा
356,S H I V _ S H A K T I,श ि व _ श क ् त ि
357,K A L I K A,क ा ल ि क ा
358,F I D A,फ ि द ा
359,S A A T _ H I N D U S T A N I,स ा त _ ह ि ं द ु स ् त ा न ी
360,S A R A S I,स र स ि
361,P R E E T _ N A _ J A N E _ R E E T,प ् र ी त _ न _ ज ा न े _ र ी त
362,V A A D D E K A R,व ा ड द े क र
363,A A J _ K A _ G U N D A R A J,आ ज _ क ा _ ग ु ं ड ा र ा ज
364,J U L I N K A,ज ू ल ि न ् क ा
365,T I T A N _ I N D U S T R I E S,ट ा इ ट न _ इ ं ड स ् ट ् र ी ज ़
366,S I L I C O N _ M O T I O N _ T E C H N O L O G Y _ C O R P O R A T I O N,स ि ल ि क ॉ न _ म ो श न _ ट े क ् न ो ल ॉ ज ी _ क ॉ र ् प ो र े श न
367,D I V A R A T H,द ि व ा र थ
368,J W A L A,ज ् व ा ल ा
369,B R Y A N _ S T R A N G,ब ् र ा य न _ स ् ट ् र े ं ग
370,A L E X A V I E R,अ ल े क ् ज े व ि य र
371,L A L I T A,ल ल ि त ा
372,D H O N G E E,ढ ़ ो ं ग ी
373,D A I L Y _ A I K Y A,ड े ल ् ह ी _ ऐ क ् य
374,N A A R I,न ा र ी
375,B A R C H I _ R O A D,ब ा र च ी _ र ो ड
376,F A Y E,फ े
377,J A N E _ F O N D A,ज े न _ फ ़ ो ं ड ा
378,W A R N E R,व ा र ् न र
379,H A R R Y _ P O T T E R,ह ै र ी _ प ॉ ट र
380,H A R Y A N A,ह र य ा ण ा
381,K R O D H I,क ् र ो ध ी
382,K E V I N _ C U R R A N,क े व ि न _ क ् य ू र े न
383,N A Y A N,न य न
384,A U R A V,औ र व
385,N A S H T A R,न श ् त र
386,C O L L E G E _ F O O T B A L L _ A W A R D S,क ॉ ल े ज _ फ ु ट ब ॉ ल _ अ व ा र ् ड ् ‍ स
387,C H I T R O D,च ि त ् र ो द
388,G R A D U A T E,ग ् र े ज ु ए ट
389,B E T I _ B E T E,ब े ट ी _ ब े ट े
390,C A R N E G I E _ M E L L O N _ U N I V E R S I T Y,क ा र न े ग _ म े ल न _ य ू न ि व र ् स ि ट ी
391,L E O N O R A,ल ि य ो न ो र ा
392,A G O S T I N O,ए ग ो स ् त ि न ो
393,C R O W N H I L L _ F O R T,क ् र ा उ न ह ि ल _ फ ो र ् ट
394,A M R O H A,अ म र ो ह ा
395,C H A M A R A J A N A G A R,च म र ा ज न ग र
396,N I R G U D E,न ि र ग ु ड े ़
397,B R U C E _ E D G A R,ब ् र ू स _ ए ग र
398,K E I T H _ D A B E N G W A,क ै थ _ ड ब े ं ग ् व ा
399,C H R I S T I N A,क ् र ि स ् ट ी न ा
400,A M A R K A A N T,अ म र क ा ं त
401,F E R U M A N,फ े र ू म न
402,M A N O H A R,म न ो ह र
403,C H R I S T I N E,क ् र ि स ् ट ी न
404,M A H A N T,म ह ं त
405,S U N I L A,स ु न ि ल ा
406,T A T I N I,त ा त ि न ी
407,W A T E R _ T O W E R _ P L A C E,व ॉ ट र _ ट ॉ व र _ प ् ल े स
408,L U C A S,ल ु क ा स
409,L U C A S,ल ् य ू क ा स
410,M A D _ B H A R E _ N A I N,म द _ भ र े _ न ै न
411,N I C A R A G U A,न ि क ा र ग ु आ
412,N I C A R A G U A,न ि क ा र ा ग ु आ
413,D E M I _ M O O R E,ड े म ी _ म ू र
414,H U B E R T _ H U M P H R E Y,ह ् य ु ब र ् ट _ ह म ् फ ़ ् र ी
415,F O R T _ L I G O N I E R,फ ो र ् ट _ ल ि ग ो न ि य र
416,S H A H R I A R _ N A F E E S,श ह र ि य ा र _ न फ ी स
417,Y A L Q O O T,य ल क ू त
418,S U K A Y N A H,स ु क े न ा ह
419,Q U A D _ R U G B Y,क ् व ा ड _ र ग ् ब ी
420,F O R T _ R E C O V E R Y,फ ो र ् ट _ र ि क व र ी
421,A N J A A N,अ ं ज ा न
422,M A J E D A A R,म ज े द ा र
423,A M E E N A,अ म ी न ा
424,H A R I _ B H O O M I,ह र ी _ भ ू म ि
425,A H L A D,आ ह ् ल ा द
426,K A L I N D I,क ा ल ि न ् द ी
427,J E A N N E,ज ी न ी
428,P I N A K I N,प ि न ा क ि न
429,B A H U _ B E G U M,ब ह ू _ ब े ग म
430,P R E Y A S I,प ् र े य स ी
431,J Y O T I S H M A T I,ज ् य ो त ि ष ् म त ी
432,C H O L A M A N D A L A M,क ो ल ा म ं ड ल म
433,E U D O R A,य ू ड ो र ा
434,C H A E L I,च ा ए ल ी
435,A K H T I Y A R,अ ख ् त ि य ा र
436,P O U N D,प ौ ं ड
437,B A R D,ब र ् द
438,M U J H E _ V A C H A N _ D O,म ु झ े _ व च न _ द ो
439,S I B E R U T,स ि ब े र ु ट
440,M I M I S,म ि म ि स
441,S U R Y A N A R _ K O I L,स ू र ् य ा न ा र _ क ो य ी ल
442,T R I S H N A,त ृ ष ् ण ा
443,M I Z O R A M,म ि ज ़ ो र म
444,M U R D E _ K I _ J A A N _ K H A T R E _ M A I N,म ु र ् द े _ क ी _ ज ा न _ ख त र े _ म े ं
445,C L E M E N T I N E,क ् ल े म े ं ट ा इ न
446,H A R V I N D E R _ S I N G H,ह र व ि ं द र _ स ि ं ह
447,Y U N U S _ E M R E,य ु न ु स _ इ म र
448,B A R N A G A R,ब ा र न ग र
449,C L I N T,क ् ल ि ं ट
450,A F I F,अ फ ी फ
451,N A Z A A R E,न ज़ ा र े
452,A J E E J,अ ज ी ज
453,S A D R,स द ् र
454,B A A R E,ब ा र े
455,D E L H I _ C A N T O N M E N T,ड े ल ् ह ी _ क ै ं न ट ॉ न म े ं ट
456,D U S H M A N I,द ु श ् म न ी
457,T R I Y A M A,त ् र ि य ा म ा
458,B A N A R H A T,ब न ा र ह ट
459,S P E N C E,स ् प े ं स
460,N A D R,न द ् र
461,N A R A Y A N A,न ा र ा य ण
462,D H A M K E E,ध म क ी
463,K H I D R A H,ख ि द र ा ह
464,P R A N J I V A N,प ् र ा ण ज ी व न
465,I A N _ M A C E W E N,इ य ा न _ म ै क व े न
466,M I L A N _ M A L P E N S A,म ि ल ा न _ म ा ल प े न ् स ा
467,V A N A D E V E E,व न द े व ी
468,D U G D O L,द ु ग ड ो ल
469,T Y R O N E,ट ा य र ॉ न
470,V U N T U T,व न ट ू ट
